index,log10Tavg,log10TNH4aavg,log10TNOxaavg,log10DIavg,log10fDIavg,log10TNdif,log10TNH4dif,log10TNOxdif,log10DINdif,log10fDINdif
iwi,-0.78,-0.44,-0.64,-0.64,0.01,-0.61,-0.27,-0.76,-0.65,-0.1
ici,-0.56,-0.51,-0.46,-0.5,0.05,-0.54,-0.45,-0.61,-0.58,-0.34
wchem,-0.72,-0.4,-0.63,-0.62,-0.03,-0.56,-0.25,-0.74,-0.62,-0.11
cchem,-0.53,-0.46,-0.49,-0.52,-0.03,-0.51,-0.4,-0.6,-0.56,-0.33
whabt,-0.8,-0.48,-0.65,-0.66,0.01,-0.64,-0.3,-0.77,-0.67,-0.13
chabt,-0.56,-0.49,-0.46,-0.5,0.06,-0.56,-0.43,-0.62,-0.6,-0.39
wsed,-0.8,-0.49,-0.59,-0.61,0.08,-0.68,-0.33,-0.77,-0.69,-0.13
csed,-0.62,-0.52,-0.48,-0.53,0.09,-0.66,-0.45,-0.68,-0.67,-0.44
whyd,-0.8,-0.47,-0.59,-0.62,0.11,-0.69,-0.31,-0.77,-0.72,-0.14
chyd,-0.57,-0.48,-0.44,-0.49,0.16,-0.64,-0.44,-0.65,-0.65,-0.43
wtemp,-0.78,-0.45,-0.63,-0.64,0.03,-0.61,-0.28,-0.74,-0.65,-0.1
ctemp,-0.51,-0.52,-0.41,-0.46,0.06,-0.5,-0.48,-0.55,-0.55,-0.31
wconn,-0.77,-0.52,-0.6,-0.64,0.02,-0.65,-0.36,-0.74,-0.69,-0.13
cconn,-0.45,-0.52,-0.32,-0.39,0.05,-0.37,-0.47,-0.41,-0.44,-0.06
